Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Owner,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second
Helge Hoeing,Little Bicycle Supply Shop,,Default Value,,,,,,,,555-1010,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Camarillo,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Helge,,Entertainment Retail,Owner,,Hoeing,Other,,,First name Last name,6/26/2007 11:50,6,,Alan Jackson,,Mail,,Hot,,Ms.,Yes,,,CA,Open,New,2345 7th Blvd South,,,Mailed an interest card back for road bikes,,,,,,20436,0,10,14,21,42,45
Hannah Arakawa,Leading Bike Distributors,,Default Value,,,,,,,,555-1010,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Daleville,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"36,000.00",,Hannah,,Entertainment Retail,Purchasing Manager,,Arakawa,Other,R.,,First name Last name,6/26/2007 11:50,13,,Jose Curry,,E-mail,,Cold,,Ms.,Yes,,,IN,Qualified,Qualified,Praire Mall Center,,,Follow up with spec sheets,,,,,,57457,0,10,29,21,42,45
H. Valentine,Recreation Supplies,,Default Value,,,,,,,,555-0104,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Dallas,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,H.,,Entertainment Retail,Owner,,Valentine,Other,Brian,,First name Last name,6/26/2007 11:50,18,,Jose Curry,,Any,,Cold,,Mr.,Yes,,,TX,Qualified,Qualified,789 Henry Avenue,,,Likes our universal fit helmet,,,,,,95626,0,11,29,21,42,45
Greg Johnson,Optimal Bikes,,Default Value,,,,,,,,555-0189,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",El Segundo,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Greg,,Entertainment Retail,Owner,,Johnson,Employee Referral,M.,,First name Last name,6/26/2007 11:50,8,,Patricia San Juan,,Fax,,Warm,,Mr.,Yes,,,CA,Open,New,2345 Cloud Blvd North,,,10 mountain bikes,,,,,,20159,1,0,23,21,42,45
Grant Culbertson,Handy Bike Services,,Default Value,,,,,,,,555-0172,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Newark,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"76,500.00",,Grant,,Entertainment Retail,Purchasing Assistant,,Culbertson,Web,,,First name Last name,6/26/2007 11:50,88,,Patricia San Juan,,E-mail,,Warm,,Mr.,Yes,,,CA,Open,New,4567 Abraham Drive,,,They have an on-line store only for mountain bikes,,,,,,20591,1,3,13,21,42,45
Gladys Mendiola,Curbside Sporting Goods,,Default Value,,,,,,,,555-0194,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Westminster,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"36,000.00",,Gladys,,Entertainment Retail,Purchasing Manager,,Mendiola,Other,F.,,First name Last name,6/26/2007 11:50,10,,Gail Erickson,,Fax,,Cold,,Ms.,Yes,,,CO,Disqualified,Lost,67891 East Street,,,Good prospect for frames,,,,,,10027,1,3,13,21,42,45
Gabriele Cannata,The Cracker Box,,Default Value,,,,,,,,555-0145,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Dallas,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"96,000.00",,Gabriele,,Entertainment Retail,Purchasing Assistant,,Cannata,Other,,,First name Last name,6/26/2007 11:50,84,,Alan Jackson,,E-mail,,Hot,,Ms.,Yes,,,TX,Qualified,Qualified,789123 NE 76TH ST,,,25-30 Road Bikes next quarter,,,,,,20940,1,3,13,21,42,45
Frank Lee,Trailblazing Sports,,Default Value,,,,,,,,555-0158,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Vista,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"76,500.00",,Frank,,Entertainment Retail,Purchasing Assistant,,Lee,Web,,,First name Last name,6/26/2007 11:50,91,,Gail Erickson,,Any,,Warm,,Mr.,Yes,,,CA,Open,New,NORTH COUNTY SQUARE,Urban Mall,,They have an on-line store only for mountain bikes,,,,,,20343,1,3,13,21,42,45
Francois Ajenstat,Great Bikes,,Default Value,,,,,,,,555-0134,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Phoenix,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Francois,,Entertainment Retail,Owner,,Ajenstat,Other,,,First name Last name,6/26/2007 11:50,3,,Gail Erickson,,Any,,Hot,,Mr.,Yes,,,AZ,Open,New,4321 76th Ave SE,,,Mailed an interest card back for road bikes,,,,,,10526,0,10,29,21,42,45
Forrest Chand,Fitness Cycling,,Default Value,,,,,,,,555-0119,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Fullerton,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Forrest,,Entertainment Retail,Owner,,Chand,Employee Referral,J.,,First name Last name,6/26/2007 11:50,16,,Gail Erickson,,Fax,,Warm,,Mr.,Yes,,,CA,Open,New,321 Sun Road,,,27 mountain bikes,,,,,,10295,0,10,29,21,42,45
Edna Benson,Unsurpassed Bikes,,Default Value,,,,,,,,555-0141,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Fontana,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Edna,,Entertainment Retail,Purchasing Manager,,Benson,Other,J.,,First name Last name,6/26/2007 11:50,32,,Jose Curry,,Any,,Hot,,Ms.,Yes,,,CA,Open,New,777 100th AVE,,,Mailed an interest card back for road bikes,,,,,,20368,0,11,29,21,42,45
Dorothy Fox,Cash and Carry Bikes,,Default Value,,,,,,,,555-0128,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Dallas,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Dorothy,,Entertainment Retail,Purchasing Manager,,Fox,Web,J.,,First name Last name,6/26/2007 11:50,45,,Alan Jackson,,Phone,,Warm,,Ms.,Yes,,,TX,Qualified,Qualified,500 Oak Street,,,Exclusively Touring bikes; may order caps or water bottles as a promo.,,,,,,95486,1,0,23,21,42,45
Doris Traube,Bike Products and Accessories,,Default Value,,,,,,,,555-0199,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Upland,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,Doris,,Entertainment Retail,Owner,,Traube,Other,J.,,First name Last name,6/26/2007 11:50,14,,Patricia San Juan,,Fax,,Cold,,Ms.,Yes,,,CA,Open,New,7th Avenue and Lakewood Drive,,,Good prospect for frames,,,,,,10190,1,1,22,21,42,45
Donald Thompson,Trendy Department Stores,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Norwood,U.S.,First name Last name,6/26/2007 11:50,,10 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Donald,,Entertainment Retail,Owner,,Thompson,Advertisement,M.,,First name Last name,6/26/2007 11:50,5,,Gail Erickson,,Fax,,Hot,,Mr.,Yes,,,MA,Open,New,890 High Tech Drive,,,Will be ordering about 10 bikes this year.,,,,,,22308,0,10,14,21,42,45
Deanna Meyer,Cycles and Scooters,,Default Value,,,,,,,,555-0141,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Jefferson City,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Deanna,,Entertainment Retail,Purchasing Manager,,Meyer,Employee Referral,,,First name Last name,6/26/2007 11:50,33,,Patricia San Juan,,E-mail,,Warm,,Ms.,Yes,,,MO,Open,New,678 ROBINSON ROAD,,,50 mountain bikes,,,,,,85347,-1,9,30,12,0,0
David Johnson,Sure and Reliable Sporting Goods,,Default Value,,,,,,,,555-0149,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Saint Louis,U.S.,First name Last name,6/26/2007 11:50,,34 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,David,,Entertainment Retail,Owner,,Johnson,Advertisement,,,First name Last name,6/26/2007 11:50,17,,Gail Erickson,,Fax,,Hot,,Mr.,Yes,,,MO,Open,New,800 Madison Drive,Ste 9,,Will be ordering about 34 bikes this year.,,,,,,83385,0,11,29,21,42,45
David Hodgson,Good Toys,,Default Value,,,,,,,,555-0127,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Seattle,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,David,,Entertainment Retail,Owner,,Hodgson,Other,,,First name Last name,6/26/2007 11:50,5,,Gail Erickson,,E-mail,,Hot,,Mr.,Yes,,,WA,Disqualified,Lost,42 Englewood Road,,,Mailed an interest card back for road bikes,,,,,,20947,0,10,14,21,42,45
Darren Gehring,Journey Sporting Goods,,Default Value,,,,,,,,555-0153,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Bellevue,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Darren,,Entertainment Retail,Owner,,Gehring,Other,,,First name Last name,6/26/2007 11:50,13,,Alan Jackson,,Any,,Hot,,Mr.,Yes,,,WA,Open,New,5431 180th Ave SW,,,Mailed an interest card back for road bikes,,,,,,20935,-1,9,14,12,0,0
Daniel Thompson,Travel Sports,,Default Value,,,,,,,,555-1010,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Vacaville,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Daniel,,Entertainment Retail,Owner,,Thompson,Other,P.,,First name Last name,6/26/2007 11:50,17,,Gail Erickson,,Mail,,Hot,,Mr.,Yes,,,CA,Open,New,12345 Main Street Way,,,Mailed an interest card back for road bikes,,,,,,20704,0,10,29,21,42,45
Connie Coffman,Discount Bicycle Specialists,,Default Value,,,,,,,,555-0193,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Fort Worth,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Connie,,Entertainment Retail,Purchasing Manager,,Coffman,Employee Referral,L.,,First name Last name,6/26/2007 11:50,28,,Jose Curry,,E-mail,,Warm,,Ms.,Yes,,,TX,Qualified,Qualified,89 Armadillo Road,,,31 less expensive road bikes,,,,,,96424,0,11,29,21,42,45
Cindy Dodd,Tailspin Toys,,Default Value,,,,,,,,555-0137,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Randolph,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"22,000.00",,Cindy,,Entertainment Retail,Owner,,Dodd,Other,M.,,First name Last name,6/26/2007 11:50,8,,Gail Erickson,,E-mail,,Warm,,Ms.,Yes,,,MA,Qualified,Qualified,58 Adams DR.,,,4 touring bikes.,,,,,,43935,-1,10,0,12,0,0
Chris Bidelman,Front-runner Bikes,,Default Value,,,,,,,,555-0130,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Troutdale,U.S.,First name Last name,6/26/2007 11:50,,174 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"3,600.00",,Chris,,Entertainment Retail,Purchasing Assistant,,Bidelman,Advertisement,N.,,First name Last name,6/26/2007 11:50,87,,Patricia San Juan,,Any,,Hot,,Mr.,Yes,,,OR,Open,New,7856 Quartz Road,,,Will be ordering about 174 bikes this year.,,,,,,20841,1,1,12,21,42,45
Cheryl Herring,Small Bike Shop,,Default Value,,,,,,,,555-0180,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Mobile,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,Cheryl,,Entertainment Retail,Owner,,Herring,Other,M.,,First name Last name,6/26/2007 11:50,19,,Gail Erickson,,Mail,,Cold,,Ms.,Yes,,,AL,Open,New,3456 Airport Roadway,,,Good prospect for frames,,,,,,20366,1,1,12,21,42,45
Charles Christensen,Bike Rims Company,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Eureka,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"34,500.00",,Charles,,Entertainment Retail,Purchasing Assistant,,Christensen,Employee Referral,M.,,First name Last name,6/26/2007 11:50,97,,Patricia San Juan,,E-mail,,Warm,,Mr.,Yes,,,CA,Open,New,100 SHORE MALL,Suite 6789,,100 mountain bikes,,,,,,10562,1,3,13,21,42,45
Caroline Vicknair,Wide World Importers,,Default Value,,,,,,,,555-0138,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Santa Fe,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"11,500.00",,Caroline,,Entertainment Retail,Owner,,Vicknair,Employee Referral,A.,,First name Last name,6/26/2007 11:50,17,,Jose Curry,,Any,,Warm,,Ms.,Yes,,,NM,Qualified,Qualified,100 SE Rock STREET,,,Mountain bikes and road bikes; maybe clothing.,,,,,,20940,1,3,13,21,42,45
Carol Brink,Outdoor Distributors,,Default Value,,,,,,,,555-0150,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",New York,U.S.,First name Last name,6/26/2007 11:50,,78 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"2,400.00",,Carol,,Entertainment Retail,Purchasing Manager,,Brink,Advertisement,J.,,First name Last name,6/26/2007 11:50,39,,Patricia San Juan,,Fax,,Hot,,Ms.,Yes,,,NY,Open,New,900 West Plain Avenue,,,Will be ordering about 78 bikes this year.,,,,,,23984,0,10,14,21,42,45
Brian Johnson,Extras Sporting Goods,,Default Value,,,,,,,,555-0124,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Camarillo,U.S.,First name Last name,6/26/2007 11:50,,4 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"1,200.00",,Brian,,Entertainment Retail,Owner,,Johnson,Advertisement,,,First name Last name,6/26/2007 11:50,2,,Jose Curry,,Any,,Hot,,Mr.,Yes,,,CA,Open,New,Fenton Highway North,,,Will be ordering about 4 bikes this year.,,,,,,20436,0,10,29,21,42,45
Brannon Jones,New and Used Bicycles,,Default Value,,,,,,,,555-0167,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Wood Dale,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Brannon,,Entertainment Retail,Owner,,Jones,Other,,,First name Last name,6/26/2007 11:50,18,,Jose Curry,,E-mail,,Hot,,Mr.,Yes,,,IL,Qualified,Qualified,6543 Angle Road,,,Very likely will order 18 Road bikes,,,,,,80437,0,10,29,21,42,45
Bonnie Lepro,More Bikes!,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",AU.S.tin,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Bonnie,,Entertainment Retail,Purchasing Assistant,,Lepro,Other,B.,,First name Last name,6/26/2007 11:50,97,,Gail Erickson,,Any,,Warm,,Ms.,Yes,,,TX,Open,New,234 75th Ave West,,,New store opened this year - follow up,,,,,,98967,0,10,29,21,42,45
Bernard Duerr,Lease-a-Bike Shop,,Default Value,,,,,,,,555-0139,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Millington,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"76,500.00",,Bernard,,Entertainment Retail,Purchasing Assistant,,Duerr,Web,,,First name Last name,6/26/2007 11:50,67,,Patricia San Juan,,Any,,Warm,,Mr.,Yes,,,TN,Open,New,555 Southwest Morris Road,,,They have an on-line store only for mountain bikes,,,,,,58299,0,11,29,21,42,45
Barry Johnson,Sample Bike Store,,Default Value,,,,,,,,555-0153,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Seattle,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"11,500.00",,Barry,,Entertainment Retail,Owner,,Johnson,Employee Referral,,,First name Last name,6/26/2007 11:50,5,,Jose Curry,,Any,,Warm,,Mr.,Yes,,,WA,Disqualified,Lost,5 James Avenue,,,10 mountain bikes,,,,,,20947,0,10,29,21,42,45
Andrew Cencini,Sports Merchandise,,Default Value,,,,,,,,555-0132,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",La Vergne,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Andrew,,Entertainment Retail,Purchasing Assistant,,Cencini,Other,,,First name Last name,6/26/2007 11:50,83,,Gail Erickson,,Any,,Warm,,Mr.,Yes,,,TN,Open,New,234 Washington Blvd,,,New store opened this year - follow up,,,,,,57332,0,11,29,21,42,45
Alvin Torre,The Cycle Store,,Default Value,,,,,,,,555-0145,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Indianapolis,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"22,000.00",,Alvin,,Entertainment Retail,Owner,,Torre,Other,J.,,First name Last name,6/26/2007 11:50,16,,Alan Jackson,,Any,,Warm,,Mr.,Yes,,,IN,Qualified,Qualified,6789 Main St.,,,32 bikes of all types.,,,,,,56373,0,11,29,21,42,45
Alan Brewer,Lots of Bikes Storehouse,,Default Value,,,,,,,,555-0192,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Campbellsville,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"54,000.00",,Alan,,Entertainment Retail,Purchasing Assistant,,Brewer,Other,,,First name Last name,6/26/2007 11:50,76,,Jose Curry,,Fax,,Cold,,Mr.,Yes,,,KY,Qualified,Qualified,123 N. America Ave,,,Contact in 30 days,,,,,,62964,0,10,14,21,42,45
Adrian Dumitrascu,Active Cycling,,Default Value,,,,,,,,555-0169,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Dallas,U.S.,First name Last name,6/26/2007 11:50,,Lead from the Houston Bicycle Show,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"84,000.00",,Adrian,,Entertainment Retail,Purchasing Assistant,,Dumitrascu,External Referral,,,First name Last name,6/26/2007 11:50,73,,Alan Jackson,,Mail,,Cold,,Sr.,Yes,,,TX,Qualified,Qualified,100 Red Oak Lane,,,May order 75 Road bikes this year.,,,,,,20313,0,10,14,21,42,45
Abraham Swearengin,Wheel Gallery,,Default Value,,,,,,,,555-0162,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Fort Wayne,U.S.,First name Last name,6/26/2007 11:50,,180 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"3,600.00",,Abraham,,Entertainment Retail,Purchasing Assistant,,Swearengin,Advertisement,L.,,First name Last name,6/26/2007 11:50,90,,Gail Erickson,,E-mail,,Hot,,Mr.,Yes,,,IN,Open,New,456 200th St.,,,Will be ordering about 180 bikes this year.,,,,,,67051,0,11,29,21,42,45
Aaron Con,Wholesale Bikes,,Default Value,,,,,,,,555-0171,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Cedar City,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Aaron,,Entertainment Retail,Purchasing Manager,,Con,Other,,,First name Last name,6/26/2007 11:50,27,,Patricia San Juan,,Any,,Hot,,Mr.,Yes,,,UT,Open,New,5667 S. MAIN,Hiway Mall,,Mailed an interest card back for road bikes,,,,,,10496,0,1,2,10,0,0
